Order_ID,Product_ID,User_ID,Order_Date,Product_Category,Product_Price,Order_Quantity,Discount_Applied,Shipping_Method,Payment_Method,User_Age,User_Gender,User_Location,Return_Status,Return_Reason,Days_to_Return,Order_Value,Return_Cost,Profit_Loss,CO2_Emissions,Packaging_Waste,CO2_Saved,Waste_Avoided,REVENUE,DISCOUNT_AMT,Final revenue,MONTH,year,age grp
ORD00000,PROD0169,USER0195,14-01-2022,Clothing,1720.71,2,30.46,Next-Day,Wallet,57,Female,Mumbai,Not Returned,No Return,0,2393.2,0,2393.16,2,0.4,2,0.4,3441.42,1048.26,2393.16,January,2022,45+
ORD00001,PROD0318,USER1469,03-01-2022,Toys,744.06,5,29.62,Next-Day,Wallet,55,Female,Pune,Returned,Size Issue,12,2618.3,200,2418.35,2,1,0,0,3720.3,1101.95,2618.35,January,2022,45+
ORD00002,PROD0427,USER1812,16-03-2025,Clothing,983.68,5,47.8,Express,Wallet,37,Female,Nagpur,Not Returned,No Return,0,2567.4,0,2567.4,1.5,1,1.5,1,4918.4,2351,2567.4,March,2025,35-44
ORD00003,PROD0323,USER1274,06-11-2024,Books,1855.65,2,2.9,Express,COD,47,Female,Nashik,Not Returned,No Return,0,3603.7,0,3603.67,1.5,0.4,1.5,0.4,3711.3,107.63,3603.67,November,2024,45+
ORD00004,PROD0325,USER0551,07-06-2023,Home Appliances,1770.97,5,44.42,Express,COD,35,Female,Aurangabad,Returned,Size Issue,11,4921.5,200,4721.53,1.5,1,0,0,8854.85,3933.32,4921.53,June,2023,35-44
ORD00005,PROD0490,USER1533,04-08-2024,Home Appliances,591.59,5,42.65,Express,COD,30,Female,Thane,Not Returned,No Return,0,1696.4,0,1696.38,1.5,1,1.5,1,2957.95,1261.57,1696.38,August,2024,25-34
ORD00006,PROD0203,USER0684,02-12-2022,Clothing,1486.38,1,42.68,Express,COD,55,Female,Delhi,Returned,Size Issue,48,852,200,651.99,1.5,0.2,0,0,1486.38,634.39,851.99,December,2022,45+
ORD00007,PROD0309,USER1428,27-11-2023,Home Appliances,867.83,5,32.64,Standard,Wallet,25,Female,Noida,Not Returned,No Return,0,2922.9,0,2922.85,1,1,1,1,4339.15,1416.3,2922.85,November,2023,25-34
ORD00008,PROD0477,USER0362,11-02-2023,Books,900.07,2,35.09,Express,Wallet,63,Female,Gurugram,Not Returned,No Return,0,1168.5,0,1168.47,1.5,0.4,1.5,0.4,1800.14,631.67,1168.47,February,2023,45+
ORD00009,PROD0013,USER1831,18-07-2023,Clothing,841.45,1,29.24,Next-Day,Credit Card,35,Male,Faridabad,Returned,Changed Mind,41,595.4,200,395.41,2,0.2,0,0,841.45,246.04,595.41,July,2023,35-44
ORD00010,PROD0272,USER1163,06-08-2023,Toys,878.28,4,4.55,Next-Day,Wallet,45,Female,Ghaziabad,Not Returned,No Return,0,3353.3,0,3353.27,2,0.8,2,0.8,3513.12,159.85,3353.27,August,2023,45+
ORD00011,PROD0289,USER0576,02-05-2025,Clothing,1175.86,4,0.05,Express,Credit Card,50,Male,Bengaluru,Returned,Wrong Item,27,4701.1,200,4501.09,1.5,0.8,0,0,4703.44,2.35,4701.09,May,2025,45+
ORD00012,PROD0173,USER1287,06-02-2024,Clothing,496.15,5,15.37,Standard,COD,32,Female,Mysuru,Returned,Size Issue,29,2099.5,200,1899.46,1,1,0,0,2480.75,381.29,2099.46,February,2024,25-34
ORD00013,PROD0340,USER0436,01-04-2024,Home Appliances,724.15,4,46.64,Next-Day,COD,28,Female,Hubli,Not Returned,No Return,0,1545.6,0,1545.63,2,0.8,2,0.8,2896.6,1350.97,1545.63,April,2024,25-34
ORD00014,PROD0051,USER1263,13-07-2022,Home Appliances,402.42,4,46.79,Next-Day,Credit Card,30,Male,Mangaluru,Not Returned,No Return,0,856.5,0,856.51,2,0.8,2,0.8,1609.68,753.17,856.51,July,2022,25-34
ORD00015,PROD0216,USER0527,25-12-2023,Clothing,1028.52,1,17.98,Standard,Debit Card,61,Male,Belagavi,Not Returned,No Return,0,843.6,0,843.59,1,0.2,1,0.2,1028.52,184.93,843.59,December,2023,45+
ORD00016,PROD0078,USER0631,26-10-2023,Books,1007.44,2,22.33,Next-Day,COD,42,Male,Chennai,Returned,Wrong Item,28,1565,200,1364.96,2,0.4,0,0,2014.88,449.92,1564.96,October,2023,35-44
ORD00017,PROD0497,USER0293,11-04-2024,Clothing,1511.97,3,29.6,Next-Day,Debit Card,61,Female,Coimbatore,Not Returned,No Return,0,3193.3,0,3193.28,2,0.6,2,0.6,4535.91,1342.63,3193.28,April,2024,45+
ORD00018,PROD0091,USER1037,26-09-2024,Clothing,1407.13,1,26.76,Next-Day,Wallet,27,Male,Madurai,Not Returned,No Return,0,1030.6,0,1030.58,2,0.2,2,0.2,1407.13,376.55,1030.58,September,2024,25-34
ORD00019,PROD0313,USER1388,12-05-2024,Electronics,118.47,3,30.4,Standard,COD,59,Male,Salem,Not Returned,No Return,0,247.4,0,247.37,1,0.6,1,0.6,355.41,108.04,247.37,May,2024,45+
ORD00020,PROD0453,USER0995,06-12-2022,Home Appliances,677.02,3,24.19,Next-Day,Credit Card,63,Male,Tiruchirappalli,Not Returned,No Return,0,1539.7,0,1539.75,2,0.6,2,0.6,2031.06,491.31,1539.75,December,2022,45+
ORD00021,PROD0080,USER1065,30-04-2022,Toys,489.24,5,34.18,Express,Credit Card,51,Male,Hyderabad,Returned,Defective,38,1610.1,200,1410.09,1.5,1,0,0,2446.2,836.11,1610.09,April,2022,45+
ORD00022,PROD0145,USER1891,11-11-2024,Clothing,586.27,4,49.48,Express,Credit Card,22,Male,Warangal,Returned,Changed Mind,19,1184.7,200,984.73,1.5,0.8,0,0,2345.08,1160.35,1184.73,November,2024,18-24
ORD00023,PROD0197,USER1924,14-03-2023,Clothing,1450.25,2,19.1,Next-Day,Wallet,48,Female,Karimnagar,Not Returned,No Return,0,2346.5,0,2346.5,2,0.4,2,0.4,2900.5,554,2346.5,March,2023,45+
ORD00024,PROD0245,USER0556,27-10-2024,Electronics,1817.2,5,27.56,Next-Day,Debit Card,40,Male,Nizamabad,Not Returned,No Return,0,6581.9,0,6581.9,2,1,2,1,9086,2504.1,6581.9,October,2024,35-44
ORD00025,PROD0023,USER1072,25-12-2024,Electronics,926.6,1,12.24,Standard,Credit Card,40,Female,Vijayawada,Not Returned,No Return,0,813.2,0,813.18,1,0.2,1,0.2,926.6,113.42,813.18,December,2024,35-44
ORD00026,PROD0282,USER0720,09-12-2022,Electronics,474.4,4,28.41,Standard,Debit Card,57,Male,Visakhapatnam,Not Returned,No Return,0,1358.5,0,1358.49,1,0.8,1,0.8,1897.6,539.11,1358.49,December,2022,45+
ORD00027,PROD0028,USER0581,14-10-2024,Electronics,591.71,3,47.93,Next-Day,Credit Card,45,Male,Guntur,Returned,Defective,16,924.3,200,724.31,2,0.6,0,0,1775.13,850.82,924.31,October,2024,45+
ORD00028,PROD0021,USER0081,21-10-2023,Books,1954.61,2,4.97,Standard,Wallet,29,Male,Tirupati,Not Returned,No Return,0,3714.9,0,3714.93,1,0.4,1,0.4,3909.22,194.29,3714.93,October,2023,25-34
ORD00029,PROD0109,USER1556,08-05-2024,Clothing,1986.39,5,49.57,Express,Debit Card,20,Female,Kakinada,Not Returned,No Return,0,5008.7,0,5008.68,1.5,1,1.5,1,9931.95,4923.27,5008.68,May,2024,18-24
ORD00030,PROD0348,USER0622,05-06-2022,Clothing,1958.01,1,13.84,Standard,Wallet,53,Female,Kolkata,Not Returned,No Return,0,1687,0,1687.02,1,0.2,1,0.2,1958.01,270.99,1687.02,June,2022,45+
ORD00031,PROD0222,USER0715,25-10-2022,Electronics,1129.86,5,47.92,Standard,Debit Card,61,Male,Howrah,Not Returned,No Return,0,2942.2,0,2942.16,1,1,1,1,5649.3,2707.14,2942.16,October,2022,45+
ORD00032,PROD0196,USER0816,13-11-2024,Electronics,965.69,3,22.26,Express,Wallet,57,Female,Siliguri,Not Returned,No Return,0,2252.2,0,2252.18,1.5,0.6,1.5,0.6,2897.07,644.89,2252.18,November,2024,45+
ORD00033,PROD0257,USER0501,04-06-2024,Clothing,1222.91,4,34.81,Next-Day,Debit Card,55,Male,Durgapur,Not Returned,No Return,0,3188.9,0,3188.86,2,0.8,2,0.8,4891.64,1702.78,3188.86,June,2024,45+
ORD00034,PROD0214,USER1455,22-02-2023,Books,558.64,1,24.01,Standard,Debit Card,51,Female,Asansol,Not Returned,No Return,0,424.5,0,424.51,1,0.2,1,0.2,558.64,134.13,424.51,February,2023,45+
ORD00035,PROD0125,USER1993,05-02-2025,Toys,1315.41,4,16.13,Next-Day,COD,50,Male,Ahmedabad,Not Returned,No Return,0,4412.9,0,4412.94,2,0.8,2,0.8,5261.64,848.7,4412.94,February,2025,45+
ORD00036,PROD0395,USER1631,04-02-2025,Books,1762.82,3,22.88,Next-Day,Credit Card,18,Male,Surat,Not Returned,No Return,0,4078.5,0,4078.46,2,0.6,2,0.6,5288.46,1210,4078.46,February,2025,18-24
ORD00037,PROD0234,USER0604,18-03-2025,Home Appliances,1539.1,4,38.93,Express,Wallet,49,Female,Vadodara,Not Returned,No Return,0,3759.7,0,3759.71,1.5,0.8,1.5,0.8,6156.4,2396.69,3759.71,March,2025,45+
ORD00038,PROD0112,USER1410,16-04-2022,Toys,1673.32,4,8.59,Standard,Credit Card,59,Female,Rajkot,Not Returned,No Return,0,6118.3,0,6118.33,1,0.8,1,0.8,6693.28,574.95,6118.33,April,2022,45+
ORD00039,PROD0414,USER1901,16-05-2022,Books,228.03,2,40.43,Express,Credit Card,63,Female,Bhavnagar,Not Returned,No Return,0,271.7,0,271.67,1.5,0.4,1.5,0.4,456.06,184.39,271.67,May,2022,45+
ORD00040,PROD0003,USER1050,12-02-2022,Clothing,865.53,3,29.69,Next-Day,Credit Card,21,Female,Jaipur,Returned,Size Issue,11,1825.7,200,1625.66,2,0.6,0,0,2596.59,770.93,1825.66,February,2022,18-24
ORD00041,PROD0031,USER0297,01-04-2024,Toys,867.44,3,41.84,Express,Wallet,56,Male,Jodhpur,Not Returned,No Return,0,1513.5,0,1513.51,1.5,0.6,1.5,0.6,2602.32,1088.81,1513.51,April,2024,45+
ORD00042,PROD0492,USER0413,08-07-2024,Electronics,1917.35,4,36.66,Express,Debit Card,56,Male,Udaipur,Returned,Size Issue,39,4857.8,200,4657.8,1.5,0.8,0,0,7669.4,2811.6,4857.8,July,2024,45+
ORD00043,PROD0153,USER1690,13-11-2023,Clothing,823.66,3,21.65,Express,Debit Card,43,Female,Kota,Not Returned,No Return,0,1936,0,1936.01,1.5,0.6,1.5,0.6,2470.98,534.97,1936.01,November,2023,35-44
ORD00044,PROD0401,USER1760,26-03-2024,Clothing,637.2,4,5.14,Express,COD,41,Female,Ajmer,Not Returned,No Return,0,2417.8,0,2417.79,1.5,0.8,1.5,0.8,2548.8,131.01,2417.79,March,2024,35-44
ORD00045,PROD0124,USER1834,11-08-2025,Electronics,614.11,5,0.79,Next-Day,Debit Card,42,Male,Lucknow,Not Returned,No Return,0,3046.3,0,3046.29,2,1,2,1,3070.55,24.26,3046.29,August,2025,35-44
ORD00046,PROD0043,USER0750,09-12-2022,Clothing,627.61,1,46.58,Standard,COD,53,Male,Kanpur,Not Returned,No Return,0,335.3,0,335.27,1,0.2,1,0.2,627.61,292.34,335.27,December,2022,45+
ORD00047,PROD0094,USER1491,15-09-2023,Clothing,1176.05,1,2.52,Standard,Debit Card,51,Female,Agra,Returned,Defective,33,1146.4,200,946.41,1,0.2,0,0,1176.05,29.64,1146.41,September,2023,45+
ORD00048,PROD0187,USER0615,25-12-2024,Clothing,1773.1,5,32.55,Express,Wallet,29,Male,Varanasi,Not Returned,No Return,0,5979.8,0,5979.78,1.5,1,1.5,1,8865.5,2885.72,5979.78,December,2024,25-34
ORD00049,PROD0008,USER1920,30-12-2024,Electronics,377.98,3,39.94,Standard,COD,22,Male,Prayagraj,Returned,Wrong Item,41,681,200,481.04,1,0.6,0,0,1133.94,452.9,681.04,December,2024,18-24
ORD00050,PROD0475,USER0568,18-02-2022,Toys,1191.75,4,22.81,Express,Wallet,65,Female,Indore,Not Returned,No Return,0,3679.6,0,3679.65,1.5,0.8,1.5,0.8,4767,1087.35,3679.65,February,2022,45+
ORD00051,PROD0225,USER1296,17-09-2024,Books,1367.73,1,49.26,Standard,Wallet,49,Female,Bhopal,Returned,Size Issue,5,694,200,493.99,1,0.2,0,0,1367.73,673.74,693.99,September,2024,45+
ORD00052,PROD0296,USER1140,07-04-2023,Electronics,983.36,5,10.14,Standard,Credit Card,60,Male,Jabalpur,Not Returned,No Return,0,4418.2,0,4418.24,1,1,1,1,4916.8,498.56,4418.24,April,2023,45+
ORD00053,PROD0152,USER0822,04-12-2022,Clothing,132.08,5,13.64,Standard,Credit Card,60,Female,Gwalior,Not Returned,No Return,0,570.3,0,570.32,1,1,1,1,660.4,90.08,570.32,December,2022,45+
ORD00054,PROD0306,USER1021,18-01-2022,Electronics,635.55,3,6.34,Express,Debit Card,48,Female,Raipur,Not Returned,No Return,0,1785.8,0,1785.77,1.5,0.6,1.5,0.6,1906.65,120.88,1785.77,January,2022,45+
ORD00055,PROD0068,USER1394,03-12-2024,Toys,275.08,1,6.97,Express,Debit Card,21,Female,Bilaspur,Not Returned,No Return,0,255.9,0,255.91,1.5,0.2,1.5,0.2,275.08,19.17,255.91,December,2024,18-24
ORD00056,PROD0353,USER1235,01-09-2023,Books,1497.49,4,17.06,Express,Debit Card,37,Male,Bhubaneswar,Not Returned,No Return,0,4968.1,0,4968.07,1.5,0.8,1.5,0.8,5989.96,1021.89,4968.07,September,2023,35-44
ORD00057,PROD0484,USER1000,06-08-2023,Books,945.39,2,48.79,Standard,Credit Card,19,Male,Cuttack,Not Returned,No Return,0,968.3,0,968.27,1,0.4,1,0.4,1890.78,922.51,968.27,August,2023,18-24
ORD00058,PROD0394,USER1053,14-08-2025,Electronics,494.88,3,49.44,Standard,Wallet,28,Female,Rourkela,Returned,Changed Mind,12,750.6,200,550.63,1,0.6,0,0,1484.64,734.01,750.63,August,2025,25-34
ORD00059,PROD0152,USER0806,05-05-2025,Home Appliances,279.18,2,48.36,Express,COD,30,Female,Ranchi,Not Returned,No Return,0,288.3,0,288.34,1.5,0.4,1.5,0.4,558.36,270.02,288.34,May,2025,25-34
ORD00060,PROD0098,USER0980,21-03-2025,Clothing,1156.2,1,21.78,Next-Day,COD,41,Male,Jamshedpur,Not Returned,No Return,0,904.4,0,904.38,2,0.2,2,0.2,1156.2,251.82,904.38,March,2025,35-44
ORD00061,PROD0060,USER0345,25-03-2022,Electronics,1570.79,5,46.56,Express,COD,26,Male,Dhanbad,Not Returned,No Return,0,4197.2,0,4197.15,1.5,1,1.5,1,7853.95,3656.8,4197.15,March,2022,25-34
ORD00062,PROD0354,USER0802,06-06-2025,Home Appliances,126.54,1,37.63,Next-Day,Credit Card,24,Female,Patna,Not Returned,No Return,0,78.9,0,78.92,2,0.2,2,0.2,126.54,47.62,78.92,June,2025,18-24
ORD00063,PROD0251,USER1997,24-06-2022,Electronics,1058.27,3,16.36,Standard,Wallet,30,Female,Muzaffarpur,Not Returned,No Return,0,2655.4,0,2655.41,1,0.6,1,0.6,3174.81,519.4,2655.41,June,2022,25-34
ORD00064,PROD0217,USER0542,23-01-2025,Toys,1448.92,3,48.41,Standard,Debit Card,39,Female,Gaya,Returned,Defective,22,2242.5,200,2042.49,1,0.6,0,0,4346.76,2104.27,2242.49,January,2025,35-44
ORD00065,PROD0335,USER0174,17-03-2024,Clothing,630.87,2,28.85,Standard,Debit Card,28,Female,Chandigarh,Not Returned,No Return,0,897.7,0,897.73,1,0.4,1,0.4,1261.74,364.01,897.73,March,2024,25-34
ORD00066,PROD0012,USER0717,02-06-2022,Toys,1716.19,1,20.92,Next-Day,Wallet,24,Male,Ludhiana,Not Returned,No Return,0,1357.2,0,1357.16,2,0.2,2,0.2,1716.19,359.03,1357.16,June,2022,18-24
ORD00067,PROD0423,USER0554,16-03-2024,Electronics,480.72,1,4.58,Next-Day,Debit Card,64,Female,Amritsar,Returned,Defective,33,458.7,200,258.7,2,0.2,0,0,480.72,22.02,458.7,March,2024,45+
ORD00068,PROD0398,USER1020,09-03-2024,Electronics,1600.22,4,22.26,Next-Day,Credit Card,40,Female,Jalandhar,Returned,Wrong Item,31,4976,200,4776.04,2,0.8,0,0,6400.88,1424.84,4976.04,March,2024,35-44
ORD00069,PROD0500,USER1931,28-09-2022,Electronics,649.78,2,22.75,Express,Debit Card,46,Male,Kochi,Not Returned,No Return,0,1003.9,0,1003.91,1.5,0.4,1.5,0.4,1299.56,295.65,1003.91,September,2022,45+
ORD00070,PROD0189,USER0720,14-07-2024,Clothing,775.21,3,6.07,Standard,Debit Card,38,Male,Thiruvananthapuram,Not Returned,No Return,0,2184.5,0,2184.46,1,0.6,1,0.6,2325.63,141.17,2184.46,July,2024,35-44
ORD00071,PROD0141,USER1429,05-06-2023,Clothing,1822,2,9.2,Next-Day,Credit Card,59,Male,Kozhikode,Not Returned,No Return,0,3308.8,0,3308.75,2,0.4,2,0.4,3644,335.25,3308.75,June,2023,45+
ORD00072,PROD0456,USER0595,19-08-2024,Clothing,557.77,2,34.84,Next-Day,COD,27,Male,Thrissur,Returned,Defective,58,726.9,200,526.89,2,0.4,0,0,1115.54,388.65,726.89,August,2024,25-34
ORD00073,PROD0052,USER0643,08-07-2023,Clothing,170.45,4,29.79,Standard,COD,31,Male,Guwahati,Not Returned,No Return,0,478.7,0,478.69,1,0.8,1,0.8,681.8,203.11,478.69,July,2023,25-34
ORD00074,PROD0340,USER1369,25-01-2024,Clothing,1966.37,3,40,Next-Day,Debit Card,51,Female,Shillong,Not Returned,No Return,0,3539.5,0,3539.47,2,0.6,2,0.6,5899.11,2359.64,3539.47,January,2024,45+
ORD00075,PROD0096,USER0161,16-06-2025,Toys,1709,3,44.94,Standard,Wallet,31,Male,Imphal,Returned,Wrong Item,51,2822.9,200,2622.93,1,0.6,0,0,5127,2304.07,2822.93,June,2025,25-34
ORD00076,PROD0336,USER0285,13-11-2022,Toys,1371.61,5,36.03,Next-Day,Credit Card,42,Female,Aizawl,Not Returned,No Return,0,4387.1,0,4387.09,2,1,2,1,6858.05,2470.96,4387.09,November,2022,35-44
ORD00077,PROD0101,USER1541,15-08-2024,Toys,1878.54,3,11.75,Standard,COD,27,Female,Itanagar,Not Returned,No Return,0,4973.4,0,4973.43,1,0.6,1,0.6,5635.62,662.19,4973.43,August,2024,25-34
ORD00078,PROD0287,USER0117,29-03-2022,Clothing,313.01,4,46.58,Express,Credit Card,39,Female,Panaji,Not Returned,No Return,0,668.8,0,668.84,1.5,0.8,1.5,0.8,1252.04,583.2,668.84,March,2022,35-44
ORD00079,PROD0168,USER0144,17-05-2022,Electronics,143.57,5,29.55,Express,Debit Card,64,Female,Dehradun,Returned,Defective,27,505.7,200,305.73,1.5,1,0,0,717.85,212.12,505.73,May,2022,45+
ORD00080,PROD0111,USER0274,08-12-2022,Books,1904.3,5,34.48,Express,COD,63,Male,Shimla,Not Returned,No Return,0,6238.5,0,6238.49,1.5,1,1.5,1,9521.5,3283.01,6238.49,December,2022,45+
ORD00081,PROD0342,USER1757,06-12-2023,Toys,1655.42,2,25.34,Next-Day,Wallet,44,Male,Jammu,Not Returned,No Return,0,2471.9,0,2471.87,2,0.4,2,0.4,3310.84,838.97,2471.87,December,2023,35-44
ORD00082,PROD0459,USER1534,25-01-2024,Toys,1890.86,3,36.7,Express,Credit Card,45,Female,Srinagar,Not Returned,No Return,0,3590.7,0,3590.74,1.5,0.6,1.5,0.6,5672.58,2081.84,3590.74,January,2024,45+
ORD00083,PROD0266,USER0946,16-01-2024,Clothing,1665.49,2,42.06,Standard,Wallet,18,Female,Mumbai,Not Returned,No Return,0,1930,0,1929.97,1,0.4,1,0.4,3330.98,1401.01,1929.97,January,2024,18-24
ORD00084,PROD0103,USER1363,19-08-2023,Home Appliances,1750.42,5,20.87,Express,Debit Card,24,Male,Pune,Not Returned,No Return,0,6925.5,0,6925.54,1.5,1,1.5,1,8752.1,1826.56,6925.54,August,2023,18-24
ORD00085,PROD0125,USER0849,01-04-2022,Electronics,1438.49,4,30.91,Standard,Wallet,38,Female,Nagpur,Returned,Wrong Item,59,3975.4,200,3775.41,1,0.8,0,0,5753.96,1778.55,3975.41,April,2022,35-44
ORD00086,PROD0154,USER0452,10-08-2024,Clothing,1206.67,5,38.53,Next-Day,Credit Card,21,Female,Nashik,Not Returned,No Return,0,3708.7,0,3708.7,2,1,2,1,6033.35,2324.65,3708.7,August,2024,18-24
ORD00087,PROD0137,USER0245,15-05-2025,Home Appliances,426.66,4,41.82,Express,Debit Card,46,Male,Aurangabad,Returned,Defective,14,992.9,200,792.92,1.5,0.8,0,0,1706.64,713.72,992.92,May,2025,45+
ORD00088,PROD0190,USER1957,05-02-2023,Books,1038.75,5,47.62,Standard,Credit Card,46,Male,Thane,Not Returned,No Return,0,2720.5,0,2720.49,1,1,1,1,5193.75,2473.26,2720.49,February,2023,45+
ORD00089,PROD0240,USER1852,18-08-2023,Books,1648.31,2,9.04,Standard,Debit Card,47,Female,Delhi,Not Returned,No Return,0,2998.6,0,2998.61,1,0.4,1,0.4,3296.62,298.01,2998.61,August,2023,45+
ORD00090,PROD0125,USER1125,24-05-2025,Clothing,1615.58,3,4.77,Next-Day,Wallet,18,Male,Noida,Not Returned,No Return,0,4615.6,0,4615.55,2,0.6,2,0.6,4846.74,231.19,4615.55,May,2025,18-24
ORD00091,PROD0152,USER1865,24-12-2023,Clothing,1866.57,2,1.31,Standard,Debit Card,36,Female,Gurugram,Not Returned,No Return,0,3684.2,0,3684.24,1,0.4,1,0.4,3733.14,48.9,3684.24,December,2023,35-44
ORD00092,PROD0346,USER0921,29-08-2024,Electronics,1820.22,3,15.38,Standard,Wallet,65,Female,Faridabad,Not Returned,No Return,0,4620.8,0,4620.81,1,0.6,1,0.6,5460.66,839.85,4620.81,August,2024,45+
ORD00093,PROD0219,USER0259,07-06-2022,Electronics,1122.53,5,3.93,Express,Debit Card,42,Male,Ghaziabad,Not Returned,No Return,0,5392.1,0,5392.07,1.5,1,1.5,1,5612.65,220.58,5392.07,June,2022,35-44
ORD00094,PROD0484,USER1609,19-09-2023,Toys,952.26,5,41.84,Next-Day,Debit Card,52,Female,Bengaluru,Not Returned,No Return,0,2769.2,0,2769.17,2,1,2,1,4761.3,1992.13,2769.17,September,2023,45+
ORD00095,PROD0383,USER1546,21-09-2023,Home Appliances,1242.99,4,1.98,Next-Day,Credit Card,36,Female,Mysuru,Returned,Changed Mind,30,4873.5,200,4673.52,2,0.8,0,0,4971.96,98.44,4873.52,September,2023,35-44
ORD00096,PROD0208,USER1184,15-01-2024,Clothing,1409.6,2,25.8,Express,Wallet,34,Female,Hubli,Not Returned,No Return,0,2091.8,0,2091.85,1.5,0.4,1.5,0.4,2819.2,727.35,2091.85,January,2024,25-34
ORD00097,PROD0239,USER1150,06-07-2024,Toys,1461.39,2,47.75,Standard,Debit Card,65,Male,Mangaluru,Returned,Defective,21,1527.2,200,1327.15,1,0.4,0,0,2922.78,1395.63,1527.15,July,2024,45+
ORD00098,PROD0159,USER1026,12-01-2022,Home Appliances,413.56,2,19.87,Express,Credit Card,47,Male,Belagavi,Not Returned,No Return,0,662.8,0,662.77,1.5,0.4,1.5,0.4,827.12,164.35,662.77,January,2022,45+
ORD00099,PROD0170,USER0524,27-09-2023,Clothing,1941.29,1,31.5,Standard,Debit Card,56,Female,Chennai,Returned,Size Issue,15,1329.8,200,1129.78,1,0.2,0,0,1941.29,611.51,1329.78,September,2023,45+
ORD00100,PROD0112,USER1725,31-10-2022,Electronics,187.65,4,24.02,Express,Wallet,59,Female,Coimbatore,Not Returned,No Return,0,570.3,0,570.31,1.5,0.8,1.5,0.8,750.6,180.29,570.31,October,2022,45+
ORD00101,PROD0273,USER1274,12-01-2022,Home Appliances,1304.58,1,19.55,Standard,Wallet,65,Female,Madurai,Not Returned,No Return,0,1049.5,0,1049.53,1,0.2,1,0.2,1304.58,255.05,1049.53,January,2022,45+
ORD00102,PROD0476,USER0881,03-07-2024,Electronics,1808.6,3,14.58,Next-Day,COD,57,Male,Salem,Not Returned,No Return,0,4634.7,0,4634.72,2,0.6,2,0.6,5425.8,791.08,4634.72,July,2024,45+
ORD00103,PROD0128,USER1926,20-06-2025,Toys,1118.9,5,38.64,Standard,Credit Card,50,Female,Tiruchirappalli,Not Returned,No Return,0,3432.8,0,3432.79,1,1,1,1,5594.5,2161.71,3432.79,June,2025,45+
ORD00104,PROD0379,USER1580,15-01-2024,Clothing,1522.67,2,8.37,Standard,Debit Card,30,Male,Hyderabad,Not Returned,No Return,0,2790.4,0,2790.45,1,0.4,1,0.4,3045.34,254.89,2790.45,January,2024,25-34
ORD00105,PROD0325,USER0542,13-07-2025,Clothing,747.44,5,28.04,Express,Wallet,61,Female,Warangal,Not Returned,No Return,0,2689.3,0,2689.29,1.5,1,1.5,1,3737.2,1047.91,2689.29,July,2025,45+
ORD00106,PROD0219,USER0224,26-04-2023,Books,859.32,2,27.85,Next-Day,Debit Card,24,Female,Karimnagar,Not Returned,No Return,0,1240,0,1240,2,0.4,2,0.4,1718.64,478.64,1240,April,2023,18-24
ORD00107,PROD0282,USER1025,08-01-2025,Electronics,645.7,2,49.95,Next-Day,Wallet,59,Male,Nizamabad,Not Returned,No Return,0,646.3,0,646.35,2,0.4,2,0.4,1291.4,645.05,646.35,January,2025,45+
ORD00108,PROD0152,USER1311,14-08-2023,Electronics,1279.89,3,47.92,Next-Day,Credit Card,65,Male,Vijayawada,Returned,Wrong Item,57,1999.7,200,1799.7,2,0.6,0,0,3839.67,1839.97,1999.7,August,2023,45+
ORD00109,PROD0290,USER1588,13-01-2022,Clothing,1074.14,4,37.59,Standard,Wallet,53,Male,Visakhapatnam,Returned,Size Issue,40,2681.5,200,2481.48,1,0.8,0,0,4296.56,1615.08,2681.48,January,2022,45+
ORD00110,PROD0355,USER0594,26-01-2022,Home Appliances,1908.74,4,32.64,Express,Debit Card,56,Female,Guntur,Returned,Wrong Item,8,5142.9,200,4942.91,1.5,0.8,0,0,7634.96,2492.05,5142.91,January,2022,45+
